firm_name,city_or_hq,leader_name,leader_title,linkedin_url,message_from_pranav_modi,message_from_neha_pipada
Panish | Shea | Ravipudi LLP,"Los Angeles, CA",Brian Panish,Partner,https://www.linkedin.com/in/brianpanish,"Hey Brian - I'm Pranav, I run a small AI company called Possible Minds. We've been working on something I think you'd find interesting: an AI that handles lien negotiations after PI settlements, completely on its own. For firms with your kind of volume, it's been pulling in an extra $5K+ per case without adding any work for your team. Would love to show you how it works if you're curious: https://getpossibleminds.com/solutions/lien-reduction","Hey Brian - I'm Neha, one of the engineers at Possible Minds. We've been building an AI that negotiates medical liens automatically after cases settle. It's been getting 50%+ reductions where most firms see 30% - thought it might be useful for a firm like yours. Here's a quick overview: https://getpossibleminds.com/solutions/lien-reduction. Happy to chat about how it works under the hood if you're interested!"
Panish | Shea | Ravipudi LLP,"Los Angeles, CA",Rahul Ravipudi,Partner,https://www.linkedin.com/in/rahulravipudi,"Hey Rahul - I'm Pranav, founder of Possible Minds. We built an AI that takes over lien negotiations after settlement - runs in the background, talks to providers, and typically saves an extra $5K+ per case. Figured with PSR's caseload, it might be worth a look. Here's the quick version: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you'd like to see it in action!","Hey Rahul - I'm Neha, engineer at Possible Minds. We've been working on an AI agent that handles post-settlement lien negotiations without needing anyone to manage it. It's consistently hitting 50%+ reductions. Thought PSR might find it useful - here's more: https://getpossibleminds.com/solutions/lien-reduction. Would be happy to walk you through it!"
Carpenter & Zuckerman,"Beverly Hills, CA",John Carpenter,Founding Partner,https://www.linkedin.com/in/john-carpenter-esq-0a634b47,"Hey John - Pranav here, I run Possible Minds. We've built something that I think could be really useful for your firm: an AI that handles lien negotiations on its own after cases settle. It's been saving firms $5K+ extra per case without adding any admin headaches. Would love to give you a quick demo if you're interested: https://getpossibleminds.com/solutions/lien-reduction","Hey John - I'm Neha from Possible Minds, one of the engineers here. We built an AI that negotiates medical liens automatically - handles the back-and-forth with providers and gets 50%+ reductions pretty consistently. Thought Carpenter & Zuckerman might find it handy: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you'd like to hear more!"
Carpenter & Zuckerman,"Beverly Hills, CA",Paul Zuckerman,Partner,https://www.linkedin.com/in/paul-zuckerman-54623779,"Hey Paul - I'm Pranav, founder of Possible Minds. We've been working on an AI that handles lien negotiations after PI settlements - no babysitting required. It's been adding $5K+ per case for firms and basically eliminates the staff time spent on this stuff. Here's a quick look: https://getpossibleminds.com/solutions/lien-reduction. Happy to chat if it sounds interesting!","Hey Paul - Neha here, engineer at Possible Minds. We created an AI that takes care of lien negotiations automatically after settlement. It gets 50%+ reductions and moves cases to disbursement way faster. Thought it might be a good fit for your firm: https://getpossibleminds.com/solutions/lien-reduction. Would love to show you how it works!"
"The Dominguez Firm, LLP","Los Angeles, CA",Juan J. Dominguez,Founder / CEO / Managing Partner,https://www.linkedin.com/in/juan-j-dominguez,"Hey Juan - I'm Pranav, I run Possible Minds. We built an AI that handles lien negotiations completely on its own after cases settle. For a firm with your scale, it could mean $5K+ more per case without adding any work for your team. Here's the overview: https://getpossibleminds.com/solutions/lien-reduction. Would be great to show you a quick demo!","Hey Juan - I'm Neha, one of the engineers at Possible Minds. We've been building an AI that negotiates liens automatically - handles provider calls, emails, even faxes. Getting 50%+ reductions where most see 30%. Given The Dominguez Firm's volume, thought you might find it interesting: https://getpossibleminds.com/solutions/lien-reduction"
Wilshire Law Firm,"Los Angeles, CA",Bobby Saadian,Founder,https://www.linkedin.com/in/injurylawyerbobbysaadian,"Hey Bobby - Pranav here from Possible Minds. We've built an AI that runs lien negotiations on autopilot after settlements. For high-volume firms like Wilshire Law, it's been a game-changer - $5K+ more per case, and your team doesn't have to touch it. Take a look: https://getpossibleminds.com/solutions/lien-reduction. Would love to chat if you're curious!","Hey Bobby - I'm Neha, engineer at Possible Minds. We built something I think Wilshire Law would love: an AI that handles lien negotiations by itself after cases settle. It consistently hits 50%+ reductions and frees up a ton of staff time. Here's more: https://getpossibleminds.com/solutions/lien-reduction. Happy to walk you through it!"
"Arash Law (The Law Office of Arash Khorsandi, PC)","Los Angeles, CA",Arash Khorsandi,Principal / Lead Attorney,https://www.linkedin.com/in/arash-khorsandi-11010b8,"Hey Arash - I'm Pranav, founder of Possible Minds. We created an AI that handles lien negotiations after settlement without needing anyone to manage it. It's been getting firms an extra $5K+ per case while cutting out most of the admin work. Here's the quick version: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you'd like to see how it works!","Hey Arash - Neha here from Possible Minds. I'm one of the engineers who built our lien negotiation AI. It runs automatically after cases settle, negotiates with providers, and gets 50%+ reductions. Thought it might be useful for your practice: https://getpossibleminds.com/solutions/lien-reduction. Happy to explain how it all works!"
Sweet James (Bergener Firm),California (multiple offices),James Bergener,Founding Principal / Managing Attorney,https://www.linkedin.com/in/jamesbergener,"Hey James - Pranav here, I run Possible Minds. We built an AI that takes over lien negotiations after settlement - runs across all your cases without needing extra staff. For a multi-office operation like Sweet James, it scales really well. Seeing $5K+ more per case. Here's the overview: https://getpossibleminds.com/solutions/lien-reduction. Would love to show you!","Hey James - I'm Neha, engineer at Possible Minds. We've been working on an AI that handles lien negotiations automatically. Given Sweet James' scale across California, thought this might be really useful - it runs on every case and consistently gets 50%+ reductions. Check it out: https://getpossibleminds.com/solutions/lien-reduction"
Law Offices of Jacob Emrani,"Los Angeles, CA",Jacob Emrani,Principal,https://www.linkedin.com/in/jacob-emrani-53925020,"Hey Jacob - I'm Pranav from Possible Minds. We've built an AI that negotiates medical liens on its own after cases settle. It's been adding $5K+ per case for PI firms while basically eliminating the staff time spent on lien work. Here's more: https://getpossibleminds.com/solutions/lien-reduction. Would be happy to give you a quick demo!","Hey Jacob - Neha here, engineer at Possible Minds. We created an AI that handles post-settlement lien negotiations end-to-end - gets 50%+ reductions without anyone needing to manage it. Thought your firm might find it useful: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you want to chat!"
The Simon Law Group,"Torrance, CA",Robert T. Simon,Co-Founder / Trial Lawyer,https://www.linkedin.com/in/roberttsimon,"Hey Robert - Pranav here, I run Possible Minds. We built an AI that handles lien negotiations automatically after settlement. For trial-focused firms like yours, it means less admin distraction - and an extra $5K+ per case. Here's the quick look: https://getpossibleminds.com/solutions/lien-reduction. Would love to show you how it works!","Hey Robert - I'm Neha from Possible Minds, one of the engineers here. We've built an AI that takes care of lien negotiations on its own - handles all the provider back-and-forth and gets 50%+ reductions. Thought Simon Law Group might find it interesting: https://getpossibleminds.com/solutions/lien-reduction. Happy to chat about it!"
"Bisnar Chase Personal Injury Attorneys, LLP","Newport Beach, CA",Brian Chase,Partner,https://www.linkedin.com/in/briandchase,"Hey Brian - I'm Pranav, founder of Possible Minds. We've been working on an AI that handles lien negotiations after PI settlements - completely hands-off. It's been saving firms $5K+ per case and cuts out most of the admin grind. Here's the overview: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you'd like to take a look!","Hey Brian - Neha here, engineer at Possible Minds. We built an AI that negotiates liens automatically after cases settle. It gets 50%+ reductions consistently and runs without anyone babysitting it. Thought Bisnar Chase might find it handy: https://getpossibleminds.com/solutions/lien-reduction. Would love to walk you through it!"
West Coast Trial Lawyers,"Los Angeles, CA",Neama Rahmani,President / Co-Founder,https://www.linkedin.com/in/neama-rahmani-84799874,"Hey Neama - Pranav here from Possible Minds. We built an AI that handles lien negotiations on autopilot after settlement. It's been getting firms an extra $5K+ per case without adding any work. Figured West Coast Trial Lawyers might find it useful: https://getpossibleminds.com/solutions/lien-reduction. Happy to show you a quick demo!","Hey Neama - I'm Neha, one of the engineers at Possible Minds. We've created an AI that negotiates medical liens automatically - talks to providers, handles the back-and-forth, gets 50%+ reductions. Thought it might be valuable for your firm: https://getpossibleminds.com/solutions/lien-reduction. Let me know if you'd like to hear more!"
West Coast Trial Lawyers,"Los Angeles, CA",Allen Patatanyan,Managing Partner / Co-Founder,https://www.linkedin.com/in/allen-patatanyan-14239167,"Hey Allen - I'm Pranav, I run Possible Minds. We've built an AI that takes care of lien negotiations after cases settle - no staff involvement needed. It's been adding $5K+ per case and really cuts down on the admin work. Here's more: https://getpossibleminds.com/solutions/lien-reduction. Would love to chat if you're interested!","Hey Allen - Neha here from Possible Minds. I'm one of the engineers who built our lien negotiation AI. It runs automatically, handles provider communications, and gets 50%+ reductions. Thought West Coast Trial Lawyers might find it useful: https://getpossibleminds.com/solutions/lien-reduction. Happy to explain how it works!"
